"date","opponent","location","result","attend"
"09/11/2016","Miami","CenturyLink Field (Seattle, WA)","W 12-10",69012
"09/18/2016","@ Los Angeles","Los Angeles Memorial Coliseum (Los Angeles, CA)","L 9-3",91046
"09/25/2016","San Francisco","CenturyLink Field (Seattle, WA)","W 37-18",69010
"10/02/2016","@ NY Jets","MetLife Stadium (East Rutherford, NJ)","W 27-17",78160
"10/16/2016","Atlanta","CenturyLink Field (Seattle, WA)","W 26-24",69071
"10/23/2016","@ Arizona","University of Phoenix Stadium (Glendale, AZ)","T 6-6, OT",65089
"10/30/2016","@ New Orleans","Mercedes-Benz Superdome (New Orleans, LA)","L 25-20",73188
"11/07/2016 (Mon)","Buffalo","CenturyLink Field (Seattle, WA)","W 31-25",69084
"11/13/2016","@ New England","Gillette Stadium (Foxborough, MA)","W 31-24",66829
"11/20/2016","Philadelphia","CenturyLink Field (Seattle, WA)","W 26-15",69190
"11/27/2016","@ Tampa Bay","Raymond James Stadium (Tampa, FL)","L 14-5",63674
"12/04/2016","Carolina","CenturyLink Field (Seattle, WA)","W 40-7",69104
"12/11/2016","@ Green Bay","Lambeau Field (Green Bay, WI)","L 38-10",78057
"12/15/2016 (Thu)","Los Angeles","CenturyLink Field (Seattle, WA)","W 24-3",69067
"12/24/2016 (Sat)","Arizona","CenturyLink Field (Seattle, WA)","L 34-31",69050
"01/01/2017","@ San Francisco","Levi's Stadium (Santa Clara, CA)","W 25-23",70178
